58	55	48	5	57	7	74	-1	
61	66	48	5	46	87	88	-1	
5	57	48	5	71	61	66	-1	
21	34	48	5	51	28	39	-1	
73	36	48	5	53	91	92	-1	
68	63	48	5	73	4	3	1	
36	47	48	5	51	69	72	-1	
52	44	48	5	37	36	42	-1	
4	31	48	5	41	29	39	-1	
52	54	48	5	62	76	79	-1	
46	59	48	5	36	76	23	-1	
34	49	48	5	58	85	8	-1	
5	51	48	5	27	23	34	-1	
4	5	48	5	45	39	47	-1	
25	37	48	5	43	26	36	-1	
51	5	48	5	46	32	35	-1	
34	67	48	5	52	76	79	-1	
51	49	48	5	53	14	26	-1	
38	4	48	5	63	25	35	-1	
47	29	48	5	51	33	43	-1	
38	46	48	5	48	22	29	-1	
43	37	48	5	53	35	44	-1	
36	45	48	5	38	79	17	-1	
67	39	48	5	36	38	46	-1	
59	56	48	5	55	8	82	-1	
23	58	48	5	37	53	59	-1	
22	36	48	5	35	39	47	-1	
23	48	48	5	59	88	89	-1	
63	49	48	5	79	45	28	1	
31	44	48	5	5	79	82	-1	
59	49	48	5	52	45	36	-1	
29	41	48	5	48	38	46	-1	
48	45	48	5	6	78	8	-1	
34	55	48	5	58	31	41	-1	
49	29	48	5	56	24	35	-1	
67	84	48	5	74	54	37	1	
47	55	48	5	58	71	75	-1	
29	47	48	5	41	23	34	-1	
21	51	48	5	5	32	41	-1	
68	76	48	5	84	45	27	1	
74	44	48	5	55	88	89	-1	
58	34	48	5	56	87	81	-1	
4	46	48	5	42	35	44	-1	
43	32	48	5	33	45	52	-1	
37	5	48	5	42	36	45	-1	
25	26	48	5	39	32	42	-1	
54	57	48	5	56	81	83	-1	
47	28	48	5	56	2	25	-1	
64	58	48	5	48	78	73	-1	
41	48	48	5	51	44	51	-1	
39	41	48	5	52	72	75	-1	
85	53	48	5	53	52	35	1	
34	45	48	5	38	24	35	-1	
63	49	48	5	54	76	79	1	
24	35	48	5	31	19	31	-1	
26	4	48	5	36	26	37	-1	
71	71	48	5	68	43	36	1	
42	24	48	5	57	27	37	-1	
3	16	48	5	56	11	23	-1	
1	49	48	5	41	67	21	-1	
43	39	48	5	47	31	41	-1	
18	3	48	5	46	24	35	-1	
48	41	48	5	51	9	88	-1	
24	34	48	5	38	3	4	-1	
47	47	48	5	22	16	26	-1	
33	56	48	5	33	78	8	-1	
31	23	48	5	73	5	14	-1	
26	26	48	5	34	25	35	-1	
42	38	48	5	54	34	43	-1	
43	4	48	5	58	75	78	-1	
33	47	48	5	53	18	29	-1	
41	51	48	5	53	75	78	-1	
44	34	48	5	3	33	43	-1	
23	33	48	5	43	33	43	-1	
44	28	48	5	43	27	37	-1	
33	45	48	5	52	32	41	-1	
47	59	48	5	52	76	79	-1	
52	81	48	5	72	38	38	1	
57	54	48	5	37	28	33	-1	
16	51	48	5	33	39	48	-1	
78	68	48	5	83	4	29	1	
11	5	48	5	58	72	68	-1	
34	42	48	5	41	34	43	-1	
3	45	48	5	36	21	32	-1	
5	66	48	5	31	92	92	-1	
56	4	48	5	49	37	46	-1	
66	53	48	5	59	66	66	-1	
7	46	48	5	56	78	73	-1	
4	42	48	5	37	27	27	-1	
74	78	48	5	75	54	15	1	
24	43	48	5	37	28	38	-1	
4	41	48	5	55	22	33	-1	
7	4	48	5	54	35	44	-1	
17	52	48	5	49	37	46	-1	
65	47	48	5	59	3	4	-1	
31	5	48	5	57	84	85	-1	
45	4	48	5	61	74	77	-1	
38	26	48	5	54	16	28	-1	
35	34	48	5	46	3	27	-1	
6	5	1	5	54	77	8	-1	
55	47	48	5	57	78	8	-1	
24	41	48	5	49	23	34	-1	
75	76	48	5	83	57	3	1	
23	32	48	5	55	25	35	-1	
69	39	48	5	57	76	79	-1	
68	51	48	5	71	75	78	-1	
44	42	48	5	42	25	2	-1	
25	48	48	5	44	17	29	-1	
34	46	48	5	52	35	44	-1	
37	52	48	5	42	42	36	-1	
35	51	48	5	61	71	74	-1	
63	69	48	5	65	41	28	1	
51	4	48	5	57	62	67	-1	
34	51	48	5	67	9	9	-1	
49	42	48	5	53	79	81	-1	
36	56	48	5	43	45	53	-1	
54	49	48	5	4	87	88	-1	
3	37	48	5	43	18	3	-1	
71	52	48	5	64	1	99	-1	
22	43	48	5	48	16	28	-1	
23	34	48	5	43	26	37	-1	
38	44	48	5	43	2	31	-1	
4	45	48	5	38	22	0	-1	
3	37	48	5	59	41	49	-1	
37	44	48	5	42	39	47	-1	
54	47	48	5	28	33	42	-1	
17	38	48	5	45	42	5	-1	
27	35	48	5	51	77	79	-1	
31	47	48	5	29	28	39	-1	
44	52	48	5	43	47	54	-1	
75	55	1	1	4	47	3	1	
63	65	48	5	66	67	71	-1	
29	47	48	5	71	65	69	-1	
12	67	48	5	74	58	63	-1	
33	37	48	5	46	65	69	-1	
5	49	48	5	49	46	53	-1	
61	45	48	5	48	35	41	-1	
44	35	48	5	44	52	59	-1	
28	33	48	5	45	22	33	-1	
39	32	48	5	46	24	35	-1	
41	43	48	5	45	31	41	-1	
2	44	48	5	46	51	57	-1	
36	54	48	5	41	38	46	-1	
73	84	48	5	86	58	29	1	
46	61	48	5	48	86	87	-1	
35	48	48	5	56	4	48	-1	
25	37	48	5	41	33	42	-1	
24	57	48	5	63	34	43	-1	
25	51	48	5	37	42	5	-1	
0	51	48	5	35	67	44	-1	
74	7	48	5	66	65	69	-1	
25	4	48	5	47	33	42	-1	
29	28	48	5	44	23	34	-1	
5	37	48	5	66	64	69	-1	
29	37	48	5	48	44	52	-1	
65	51	48	5	66	54	33	1	
56	68	48	5	77	36	45	1	
36	41	48	5	48	47	54	-1	
67	88	48	5	73	5	25	1	
25	4	48	5	46	44	52	-1	
37	47	48	5	39	76	79	-1	
65	55	48	5	34	37	28	-1	
72	46	48	5	51	66	7	-1	
34	28	48	5	41	35	44	-1	
48	42	48	5	45	25	35	-1	
27	3	48	5	71	28	39	-1	
56	51	48	5	34	37	46	-1	
89	55	48	5	51	72	76	-1	
22	34	48	5	42	29	39	-1	
4	35	48	5	45	33	42	-1	
64	76	48	5	45	35	38	-1	
4	5	48	5	65	82	84	-1	
74	9	48	5	57	53	29	1	
4	29	48	5	42	35	44	-1	
28	38	48	5	5	33	42	-1	
48	49	48	5	52	77	71	-1	
38	3	48	5	43	29	39	-1	
12	43	48	5	63	7	74	-1	
51	54	48	5	41	34	43	-1	
17	39	48	5	53	3	39	-1	
29	3	48	5	45	3	17	-1	
27	42	48	5	37	38	43	-1	
26	5	48	5	44	32	41	-1	
7	39	1	5	51	82	84	1	
34	51	48	5	44	37	46	-1	
31	36	48	5	58	94	94	-1	
49	43	48	5	49	3	4	-1	
83	37	48	5	61	71	74	-1	
42	35	48	5	58	15	27	-1	
41	43	48	5	5	24	25	-1	
42	4	48	5	56	18	3	-1	
84	44	48	5	48	71	74	-1	
34	35	48	5	51	49	56	-1	
64	57	48	5	7	33	26	1	
53	42	48	5	16	29	39	-1	
41	51	48	5	58	2	31	-1	
29	52	48	5	42	29	39	-1	
63	54	48	5	65	79	81	-1	
42	3	48	5	48	26	36	-1	
44	51	48	5	47	26	36	-1	
44	35	48	5	55	55	61	-1	
44	27	48	5	55	52	58	-1	
24	43	48	5	54	52	59	-1	
3	51	48	5	42	61	34	-1	
71	4	48	5	71	7	74	-1	
41	57	48	5	39	21	32	-1	
44	56	48	5	5	46	54	-1	
39	31	48	5	38	34	43	-1	
61	47	48	5	0	8	32	-1	
53	38	48	5	44	26	36	-1	
43	4	48	5	39	28	39	-1	
35	37	48	5	3	34	43	-1	
6	61	48	5	54	67	71	-1	
63	5	48	5	59	85	86	-1	
77	57	48	5	88	53	2	1	
7	4	48	5	56	86	83	-1	
52	39	48	5	65	71	73	-1	
2	46	48	5	57	78	81	-1	
4	46	48	5	52	49	56	-1	
29	28	48	5	5	42	5	-1	
34	33	48	5	38	35	44	-1	
52	36	48	5	41	28	38	-1	
6	46	48	5	45	81	83	-1	
61	75	48	5	51	33	33	1	
36	42	48	5	53	32	41	-1	
61	36	48	5	49	35	44	-1	
52	57	48	5	42	47	54	-1	
61	52	48	5	54	67	52	-1	
36	39	48	5	48	22	23	-1	
3	44	48	5	49	22	33	-1	
6	61	48	5	49	92	37	-1	
63	75	48	5	64	73	66	-1	
63	47	48	5	51	82	84	-1	
33	45	48	5	45	88	89	-1	
23	4	48	5	39	28	38	-1	
51	37	48	5	35	36	45	-1	
51	46	48	5	58	31	41	-1	
69	59	48	5	77	39	21	1	
32	42	48	5	35	28	38	-1	
32	33	48	5	6	6	2	-1	
0	38	48	5	42	48	55	-1	
44	49	48	5	39	38	4	-1	
16	43	48	5	54	27	37	-1	
6	76	1	5	77	59	52	1	
